epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1932.36,1.68961,1.63514,1.1135,0.40182,0.32183,0.28336,0.14613,1.71477,1.26208,1.02983,0.00999945,0.00333315,0.00999945,0.00333315,0.00999945,0.00333315,0.00999945,0.00333315
2,3566.1,1.66498,1.48491,1.09814,0.41299,0.30159,0.27529,0.13257,1.87032,1.30683,1.08269,0.0196035,0.00653449,0.0196035,0.00653449,0.0196035,0.00653449,0.0196035,0.00653449
3,5171.44,1.70991,1.54037,1.12171,0.39236,0.28529,0.25257,0.11681,1.95387,1.37155,1.11628,0.0288115,0.00960382,0.0288115,0.00960382,0.0288115,0.00960382,0.0288115,0.00960382
4,6812.11,1.70696,1.51188,1.124,0.4057,0.2965,0.26473,0.12319,1.94949,1.32846,1.11625,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,8473.13,1.64503,1.38441,1.0966,0.42629,0.30607,0.28058,0.12823,1.94916,1.30466,1.11153,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,10134.1,1.5995,1.30509,1.07627,0.44725,0.33378,0.31386,0.14808,1.87962,1.22979,1.08663,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,11788.1,1.5433,1.23834,1.05406,0.46063,0.34966,0.33409,0.15651,1.90099,1.19957,1.09224,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,13440.7,1.50621,1.18554,1.03805,0.48722,0.35383,0.34344,0.16327,1.86262,1.1746,1.07344,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,15043.8,1.4722,1.14463,1.0263,0.49472,0.36626,0.35903,0.17288,1.83728,1.15213,1.06969,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,16709,1.4496,1.10359,1.01635,0.50533,0.37145,0.36587,0.17634,1.82104,1.13743,1.06059,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,18368.6,1.43041,1.07512,1.00747,0.50444,0.38651,0.37713,0.17791,1.84286,1.10996,1.06267,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,20011.9,1.41537,1.05291,1.00231,0.51428,0.38996,0.3845,0.19233,1.75163,1.0949,1.03779,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,21676.9,1.39753,1.02478,0.99655,0.52642,0.39044,0.38899,0.19334,1.75932,1.08956,1.0419,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,23321.3,1.38178,1.00176,0.98824,0.52876,0.39742,0.3934,0.19685,1.73733,1.07342,1.03204,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,24910.8,1.36788,0.98143,0.98321,0.53802,0.39933,0.39846,0.19538,1.76082,1.06847,1.03763,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,26497.4,1.35764,0.96398,0.9798,0.53814,0.3989,0.39986,0.19983,1.73749,1.06658,1.0308,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,28084.7,1.34434,0.94629,0.97403,0.54183,0.40451,0.40418,0.2088,1.66496,1.0408,1.01131,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,29673.1,1.3326,0.92778,0.97059,0.53904,0.40778,0.40516,0.2083,1.68191,1.05399,1.01517,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,31267.2,1.32092,0.91339,0.96664,0.55021,0.40894,0.41206,0.21112,1.68468,1.04532,1.01527,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,32889,1.3107,0.89474,0.96252,0.55094,0.41571,0.41597,0.21698,1.64781,1.02943,1.00573,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,34507.6,1.30356,0.88428,0.96054,0.55588,0.41546,0.42014,0.22071,1.62743,1.03069,1.00189,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,36129.9,1.29228,0.86825,0.95592,0.55902,0.41606,0.41874,0.21783,1.64737,1.02956,1.00619,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,37751.4,1.28036,0.85329,0.95181,0.5646,0.42131,0.42642,0.22951,1.57843,1.01212,0.99008,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,39376.7,1.27316,0.8411,0.94976,0.56282,0.42621,0.42949,0.23376,1.54977,1.00264,0.98323,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,41003,1.26051,0.82452,0.94569,0.55646,0.42831,0.4282,0.23036,1.57925,1.01011,0.988,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,42663.4,1.25531,0.81462,0.94373,0.55873,0.42721,0.43138,0.23082,1.58698,1.01789,0.98987,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,44323.3,1.24526,0.80269,0.94122,0.5646,0.43306,0.43607,0.23548,1.55839,1.00242,0.9849,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,45966.9,1.23805,0.79306,0.93855,0.56627,0.4299,0.43582,0.23677,1.55117,1.00415,0.98391,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,47601.1,1.22765,0.78127,0.93545,0.56107,0.43399,0.43673,0.237,1.54873,1.00078,0.98423,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,49233.8,1.21917,0.76977,0.93236,0.56327,0.43772,0.4371,0.23767,1.54357,0.99554,0.98235,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,50829.4,1.21129,0.75719,0.93023,0.57717,0.43494,0.44052,0.24018,1.53777,0.98413,0.98043,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,1642.67,1.19616,0.73832,0.92644,0.57038,0.43933,0.44254,0.24281,1.52541,0.98029,0.97836,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3276.46,1.1956,0.73815,0.92466,0.56755,0.44157,0.44194,0.24307,1.52009,0.9801,0.97652,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,4879.95,1.1882,0.72914,0.92235,0.56917,0.43762,0.44153,0.24444,1.50483,0.98276,0.97243,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6478.11,1.18173,0.72025,0.91956,0.57174,0.43623,0.44041,0.24391,1.50508,0.98562,0.97176,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8075.84,1.16891,0.70693,0.91652,0.57173,0.43841,0.44008,0.24472,1.49928,0.98502,0.96971,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9676.96,1.1628,0.69678,0.91511,0.56599,0.44176,0.43934,0.24407,1.49756,0.985,0.96892,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11274.3,1.15168,0.68888,0.91198,0.57199,0.44073,0.44012,0.24443,1.49507,0.985,0.96877,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12873.6,1.14642,0.6797,0.91095,0.57126,0.4407,0.43971,0.24437,1.49713,0.98738,0.96973,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,14475.5,1.13509,0.67,0.90721,0.57517,0.43849,0.43874,0.24363,1.49794,0.98945,0.97017,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16119.6,1.09296,0.62289,0.89189,0.56709,0.43865,0.43658,0.24005,1.51818,1.00118,0.97583,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,17715.2,1.0825,0.61136,0.8892,0.56511,0.43638,0.43306,0.23656,1.53456,1.01519,0.98064,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,19308.1,1.07232,0.60118,0.88641,0.5619,0.43618,0.43007,0.23386,1.54535,1.02807,0.98421,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,20930.9,1.06076,0.59155,0.88324,0.56254,0.43142,0.42699,0.2315,1.55221,1.0401,0.98683,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,22554,1.05142,0.58267,0.88079,0.55872,0.43125,0.42502,0.22956,1.5591,1.0493,0.98924,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,24184.7,1.04151,0.57409,0.8784,0.55556,0.43041,0.42256,0.22795,1.56322,1.05814,0.99098,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,25812.4,1.0334,0.56657,0.87587,0.55393,0.42907,0.42064,0.22657,1.56552,1.06632,0.9923,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,1605.48,1.05772,0.5974,0.88797,0.55538,0.42872,0.4209,0.22724,1.5604,1.06493,0.99097,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,3203.9,1.05562,0.59446,0.88667,0.55573,0.42932,0.42118,0.228,1.55517,1.06337,0.98967,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
