epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.163,1.48856,1.54719,1.02404,0.37273,0.32415,0.27116,0.15125,1.46268,1.26939,1.01672,0.000237963,0.000237963,0.000237963
2,1134.86,1.48343,1.33702,1.02117,0.41497,0.30701,0.27129,0.15094,1.49589,1.22133,1.03201,0.000466539,0.000466539,0.000466539
3,1678.66,1.47786,1.28718,1.01786,0.40942,0.31751,0.29283,0.16748,1.46172,1.22363,1.0219,0.00068569,0.00068569,0.00068569
4,2233.39,1.44911,1.23779,1.00627,0.42866,0.3381,0.31812,0.18424,1.44229,1.16725,1.0109,0.000671588,0.000671588,0.000671588
5,2811.44,1.42254,1.17084,0.99436,0.42941,0.34142,0.31157,0.17761,1.45253,1.14896,1.0117,0.000657451,0.000657451,0.000657451
6,3384.43,1.39407,1.12298,0.98387,0.46726,0.3631,0.34356,0.19907,1.42681,1.10135,1.00002,0.000643314,0.000643314,0.000643314
7,3947.23,1.37558,1.07605,0.9755,0.48318,0.3684,0.35001,0.20414,1.37549,1.09549,0.98646,0.000629177,0.000629177,0.000629177
8,4501.1,1.35642,1.05004,0.96937,0.47981,0.37157,0.35579,0.20612,1.39407,1.10013,0.98942,0.00061504,0.00061504,0.00061504
9,5057.64,1.34448,1.02188,0.96413,0.49643,0.38958,0.37928,0.22385,1.35615,1.05425,0.98119,0.000600902,0.000600902,0.000600902
10,5611.79,1.33108,0.99932,0.95759,0.48883,0.38567,0.36421,0.21493,1.36121,1.06403,0.97575,0.000586765,0.000586765,0.000586765
11,6170.18,1.31731,0.98229,0.95448,0.49939,0.39145,0.37437,0.21815,1.35371,1.05817,0.97986,0.000572628,0.000572628,0.000572628
12,6723.96,1.30775,0.9631,0.95105,0.48739,0.38682,0.37043,0.21887,1.36372,1.06346,0.97924,0.000558491,0.000558491,0.000558491
13,7278.32,1.29714,0.94392,0.94726,0.49059,0.4076,0.37864,0.22387,1.35059,1.03893,0.97408,0.000544354,0.000544354,0.000544354
14,7831.26,1.28653,0.92601,0.94401,0.50941,0.41341,0.39949,0.23758,1.32192,1.00165,0.96909,0.000530216,0.000530216,0.000530216
15,8423.48,1.28129,0.91659,0.94091,0.52923,0.41254,0.40559,0.2379,1.36328,1.01296,0.97387,0.000516079,0.000516079,0.000516079
16,8991.37,1.2717,0.89756,0.93798,0.50434,0.41986,0.40486,0.24232,1.3191,1.0043,0.9654,0.000501942,0.000501942,0.000501942
17,582.409,1.2619,0.88708,0.93614,0.51533,0.42679,0.40438,0.23958,1.34057,1.00061,0.96943,0.000487805,0.000487805,0.000487805
18,1153.69,1.24925,0.86685,0.93112,0.53324,0.42344,0.41823,0.24623,1.33757,0.98122,0.9676,0.000473668,0.000473668,0.000473668
19,1720.4,1.24497,0.8615,0.93082,0.54192,0.43106,0.42444,0.25178,1.33431,0.97796,0.96705,0.00045953,0.00045953,0.00045953
20,2287.13,1.23447,0.84572,0.92724,0.54053,0.4202,0.41311,0.24435,1.34735,0.99122,0.96928,0.000445393,0.000445393,0.000445393
21,2854.75,1.22596,0.83256,0.92613,0.55263,0.4263,0.42438,0.25044,1.32305,0.96282,0.96502,0.000431256,0.000431256,0.000431256
22,3420.63,1.2222,0.81971,0.9225,0.53534,0.43559,0.42081,0.25061,1.31596,0.97129,0.96399,0.000417119,0.000417119,0.000417119
23,3988.08,1.20994,0.80895,0.91935,0.54666,0.42551,0.42186,0.25275,1.31388,0.96706,0.96348,0.000402982,0.000402982,0.000402982
24,4554.18,1.20491,0.79721,0.91796,0.55505,0.43586,0.43584,0.25836,1.31882,0.95468,0.9581,0.000388844,0.000388844,0.000388844
25,5122.02,1.19758,0.78577,0.91482,0.56179,0.43695,0.43676,0.259,1.318,0.94445,0.96037,0.000374707,0.000374707,0.000374707
26,5690.78,1.19428,0.7794,0.91336,0.55603,0.42922,0.42982,0.25724,1.31608,0.96524,0.95822,0.00036057,0.00036057,0.00036057
27,6268.26,1.18296,0.77053,0.91059,0.55358,0.43826,0.43541,0.25989,1.30485,0.95533,0.95969,0.000346433,0.000346433,0.000346433
28,6842.69,1.17866,0.75798,0.90976,0.54389,0.44382,0.43699,0.26038,1.32453,0.96767,0.96306,0.000332296,0.000332296,0.000332296
29,7415.64,1.17116,0.74878,0.90742,0.55552,0.43909,0.43423,0.25936,1.31157,0.95781,0.95907,0.000318158,0.000318158,0.000318158
30,7986.9,1.16566,0.74046,0.90591,0.52804,0.43982,0.42213,0.25089,1.3163,0.9702,0.95949,0.000304021,0.000304021,0.000304021
31,8567.75,1.16004,0.73019,0.90357,0.57175,0.43914,0.43851,0.26159,1.31468,0.95147,0.95995,0.000289884,0.000289884,0.000289884
32,9147.87,1.15178,0.72052,0.90235,0.54356,0.44984,0.43795,0.26096,1.30668,0.9541,0.95577,0.000275747,0.000275747,0.000275747
33,9718.09,1.15765,0.72378,0.90303,0.57094,0.43282,0.43593,0.25964,1.31686,0.95942,0.96043,0.00026161,0.00026161,0.00026161
34,10288.6,1.15233,0.72027,0.90156,0.55397,0.44685,0.43795,0.25993,1.31696,0.95964,0.96004,0.000247472,0.000247472,0.000247472
35,10856.5,1.14573,0.71095,0.89948,0.56055,0.44934,0.44222,0.2617,1.31247,0.94743,0.95667,0.000233335,0.000233335,0.000233335
36,11424.8,1.13823,0.70264,0.89888,0.56614,0.4364,0.43551,0.25669,1.33059,0.95258,0.96176,0.000219198,0.000219198,0.000219198
37,11997.7,1.13227,0.69349,0.89516,0.57212,0.44674,0.44235,0.26609,1.30694,0.94871,0.95904,0.000205061,0.000205061,0.000205061
38,12569.2,1.12746,0.68557,0.89397,0.56969,0.44632,0.44258,0.26505,1.31544,0.94186,0.95906,0.000190924,0.000190924,0.000190924
